seq,sqcand,n,nm,cc,nv,e,st,dvt,vap,pvap,turno,totalizacao_final,uf,cargo_pretendido
4,230001221785,45,SHÉRIDAN,PSDB - PSD / PSDB / REPUBLICANOS / DEM,ZÉ HAROLDO CATHEDRAL,n,Não eleito,Válido,14055,"   8,90",1,s,rr,prefeito
11,230001210885,29,WILSON PRÉCOMA,PCO,LILA SALDANHA,n,Não eleito,Anulado sub judice,64,"   0,04",1,s,rr,prefeito
1,230000634942,10,JONER CHAGAS,REPUBLICANOS - REPUBLICANOS / REDE / PL / CIDADANIA / PROS / PRTB,MARIO NICACIO,s,Eleito,Válido,5261,"  66,83",1,s,rr,prefeito
4,230000655144,43,MAQUILES MOTA,PV,IRMÃ SOL FIEL,n,Não eleito,Válido,404,"   5,13",1,s,rr,prefeito
2,230000726897,40,DARLENE TIRIRICA,PSB - PSB / PSC / PSD,JORGE VILENA,n,Não eleito,Válido,1640,"  20,83",1,s,rr,prefeito
3,230000667757,12,NANDO MACEDO,PDT,DR RONILDO BEZERRA,n,Não eleito,Anulado sub judice,567,"   7,20",1,s,rr,prefeito
1,230000726689,11,ANDRÉ CASTRO,PP - PP / MDB / CIDADANIA / PATRIOTA / PSDB,ANGELO DO CANTÁ,s,Eleito,Válido,5508,"  53,22",1,s,rr,prefeito
3,230000766430,77,JOÃO DO TRIGO,SOLIDARIEDADE - PTB / SOLIDARIEDADE / PSB,RENATO CARVALHO,n,Não eleito,Válido,1379,"  13,32",1,s,rr,prefeito
2,230000840287,90,CARLOS BARBUDO,PROS - PC do B / PROS / AVANTE / PODE / REDE,PASTOR GILL ROCHA,n,Não eleito,Válido,3171,"  30,64",1,s,rr,prefeito
4,230000765651,55,JOVENAL MACIEL,PSD - PSC / PSD,MÁRIO CÉSAR,n,Não eleito,Válido,291,"   2,81",1,s,rr,prefeito
6,230000821272,70,WENDEL DO FÓRUM,AVANTE,GERALDINHO DA RR,n,Não eleito,Válido,410,"   3,81",1,s,rr,prefeito
2,230000835335,15,DIEGO FARIAS,MDB - PSD / MDB,PR. DANIEL LOPES,n,Não eleito,Válido,3849,"  35,77",1,s,rr,prefeito
3,230000656131,11,NALDO DA FARMÁCIA,PP - PP / REPUBLICANOS,JOANA,n,Não eleito,Válido,1410,"  13,10",1,s,rr,prefeito
7,230000730801,40,PASTOR JAMES,PSB,CLEIA DA SILVA,n,Não eleito,Válido,105,"   0,98",1,s,rr,prefeito
5,230000789623,20,NELSON RUY,PSC,FABIO FOGOIO,n,Não eleito,Válido,420,"   3,90",1,s,rr,prefeito
1,230000877160,77,DIANE,SOLIDARIEDADE - SOLIDARIEDADE / PATRIOTA / PROS / CIDADANIA,JULINHO,s,Eleito,Válido,4098,"  38,09",1,s,rr,prefeito
4,230001208201,45,PAULINHO DE CARACARAÍ,PSDB - PMN / PSDB,DEISEANE SILVA,n,Não eleito,Válido,468,"   4,35",1,s,rr,prefeito
1,230000688418,10,OSMAR FILHO,REPUBLICANOS - REPUBLICANOS / CIDADANIA,PAULO CESAR GOMES ORTIZ,s,Eleito,Válido,2387,"  49,47",1,s,rr,prefeito
3,230000784398,55,RAMIRO,PSD - PSD / PSB,JOÃO PAULO,n,Não eleito,Válido,171,"   3,54",1,s,rr,prefeito
2,230000885676,77,ARGILSON MARTINS,SOLIDARIEDADE - SOLIDARIEDADE / MDB,IRMÃ ERCILIA,n,Não eleito,Válido,2267,"  46,98",1,s,rr,prefeito
1,230000673967,15,JAIRO RIBEIRO,MDB - REPUBLICANOS / SOLIDARIEDADE / PP / MDB,KIKO,s,Eleito,Válido,2943,"  69,94",1,s,rr,prefeito
2,230000735987,90,JALA DA VAN,PROS - PROS / PATRIOTA,VALDIR SOTHE,n,Não eleito,Válido,1265,"  30,06",1,s,rr,prefeito
3,230000673931,43,CLAUDIO DINIZ,PV,CARLOTA,n,Não eleito,Válido,103,"   1,08",1,s,rr,prefeito
2,230000781324,10,COCADA,REPUBLICANOS - PROS / PSDB / REPUBLICANOS,EDSON DA EUCATUR,n,Não eleito,Válido,4071,"  42,50",1,s,rr,prefeito
1,230000646227,22,DONA NEGA,PL - SOLIDARIEDADE / CIDADANIA / MDB / PL,KEKEU,s,Eleito,Válido,5405,"  56,43",1,s,rr,prefeito
5,230000766512,40,PATRICIA PEREIRA,PSB,TUXAUA CARPEJANE,n,Não eleito,Válido,486,"   8,07",1,s,rr,prefeito
7,230000968786,20,ROSSI MACEDO,PSC,CONSTÂNCIO CONSTANTINO,n,Não eleito,Válido,301,"   5,00",1,s,rr,prefeito
4,230000828919,77,SAMIR BARROS,SOLIDARIEDADE,INDIA GRACILENE,n,Não eleito,Válido,515,"   8,55",1,s,rr,prefeito
1,230001038755,55,DR RAPOSO,PSD - PSD / REDE,VERALICE,s,Eleito,Válido,1463,"  24,30",1,s,rr,prefeito
3,230001038352,22,GUTE BRASIL,PL - REPUBLICANOS / PT / PL / CIDADANIA,BRUNA DA SILVA,n,Não eleito,Válido,1225,"  20,35",1,s,rr,prefeito
6,230000928211,45,PROFESSOR IDELMO,PSDB - PMB / PV / PSDB,JOÃO MENEZES,n,Não eleito,Válido,436,"   7,24",1,s,rr,prefeito
2,230000772368,15,JAIRO ARAUJO,MDB - MDB / PTB,AGUIAR,n,Não eleito,Válido,1408,"  23,39",1,s,rr,prefeito
8,230000726934,28,ENALDO DE SOUZA,PRTB - PRTB / AVANTE,JORGE MELO,n,Não eleito,Válido,186,"   3,09",1,s,rr,prefeito
3,230001217795,90,ALTEMIR CAMPOS,PROS,JORDÃO DO CONTÃO,n,Não eleito,Válido,585,"   9,61",1,s,rr,prefeito
1,230000975698,10,JULIANO TORQUATO,REPUBLICANOS - REPUBLICANOS / CIDADANIA / PV / PSDB / SOLIDARIEDADE,SIMEAO PEIXOTO,s,Eleito,Válido,2959,"  48,63",1,s,rr,prefeito
2,230000657676,28,WALDERY DAVILA,PRTB - PRTB / PDT / REDE,GABRIEL PEIXOTO,n,Não eleito,Válido,2541,"  41,76",1,s,rr,prefeito
1,230001244417,77,LEANDRO PEREIRA,SOLIDARIEDADE - SOLIDARIEDADE / MDB / PODE / PL / PATRIOTA / PSDB / CIDADANIA / REPUBLICANOS / PROS / PSB / PT,PINTO DO EQUADOR,s,Eleito,Válido,8587,"  60,43",1,s,rr,prefeito
2,230001199980,55,DR. ÁTHILA,PSD - DEM / PSD / PC do B / PP / PSC / PDT / PRTB,MÁRCIO DA ALBA,n,Não eleito,Válido,4464,"  31,41",1,s,rr,prefeito
3,230000777647,43,ZÉ DA DEZ,PV,DRA ROSELI,n,Não eleito,Válido,1160,"   8,16",1,s,rr,prefeito
1,230000655718,77,LUIZA MAURA,SOLIDARIEDADE - SOLIDARIEDADE / DC / PT,SEBASTIÃO PEREIRA,s,Eleito,Válido,2021,"  51,93",1,s,rr,prefeito
4,230000663848,40,EDINON,PSB,ESDRA,n,Não eleito,Válido,207,"   5,32",1,s,rr,prefeito
2,230000688421,55,MEDEIROS,PSD - REPUBLICANOS / PSD / PV,FERNANDO,n,Não eleito,Válido,1414,"  36,33",1,s,rr,prefeito
3,230001046529,20,DRA LUCIVANIA RODRIGUES,PSC,AGOSTINHO PEREIRA,n,Não eleito,Válido,250,"   6,42",1,s,rr,prefeito
1,230000655000,77,JAMES BATISTA,SOLIDARIEDADE - SOLIDARIEDADE / MDB / REPUBLICANOS,FRANCISCO SERVOLO BARBOZA,s,Eleito,Válido,2925,"  66,31",1,s,rr,prefeito
2,230000802988,25,MIGUEL RODRIGUES,DEM - CIDADANIA / PROS / DEM,PROF&#186; ITAMAR,n,Não eleito,Válido,1486,"  33,69",1,s,rr,prefeito
2,230001215666,11,DEDEL,PP - PP / PODE / SOLIDARIEDADE,JURANDIR,n,Não eleito,Válido,1674,"  34,43",1,s,rr,prefeito
3,230000975564,10,LEIDI,REPUBLICANOS,LOUDES BRITO,n,Não eleito,Válido,1122,"  23,08",1,s,rr,prefeito
1,230000765849,18,TUXAUA BENISIO,REDE - REDE / PROS,PROFESSOR JEREMIAS,s,Eleito,Válido,2066,"  42,49",1,s,rr,prefeito
